Company Name,Job Title,Location,Job Description,Salary,Link
AJ Diagnostic Centre,"Medical Receptionist ,mira road","Thane, Maharashtra","Female receptionist required Fresher also welcome contact number-9619616304 Job Type: Full-time Salary: ₹6,000.00 - ₹12,000.00 per month Schedule: *…","₹6,000 - ₹12,000 a month",https://in.indeed.com/company/AJ-Diagnostic-Centre/jobs/Medical-Receptionist-2ae0014ce1a7c87b?fccid=51dd6cda1d7b79ec&vjs=3
Atos Syntel,ASSOCIATE KPO,"Mumbai, Maharashtra","NOTE: - There are no day shifts only night shifts available.
*The job profile will involve end-to-end processing of various financial and investment products…","₹1,79,535 - ₹3,00,000 a year",https://in.indeed.com/company/Atos-Syntel/jobs/Associate-Kpo-bfd5417a6d108cb5?fccid=f67c57d420c3161d&vjs=3
Sellcraft Global Solutions,HR Recruiter,"Remote in Pune, Maharashtra","Minimum 6 months experience in recuiting or fresher.
Role Category:Recruitment & Talent Acquisition.
Employment Type:Full Time, Permanent.","₹1,50,000 - ₹1,75,000 a year",https://in.indeed.com/rc/clk?jk=0755eb3abccab759&fccid=401a930868d508cb&vjs=3
Sellcraft Global Solutions,HR recuiter,"Remote in Hyderabad, Telangana","Minimum 6 months experience in recuiting or fresher.
Role Category:Recruitment & Talent Acquisition.
Employment Type:Full Time, Permanent.","₹1,50,000 - ₹1,75,000 a year",https://in.indeed.com/rc/clk?jk=25d1baac0e2f1612&fccid=401a930868d508cb&vjs=3
Kroll,"Trainee, Valuation Services","Mumbai, Maharashtra","A Trainee in the Financial Valuation Group work on a variety of assignments, including business enterprise valuations, purchase price allocations (PPAs),…",Not Available,https://in.indeed.com/rc/clk?jk=b71999f045524df4&fccid=2991547aff717aed&vjs=3
Study educational & english planet,English Trainer,"Tarn Taran, Punjab","Communication Skill must require, we no need of IELTS Bands score because we only need English Speaking & Teaching Skill.","₹11,000 - ₹19,000 a month",https://in.indeed.com/company/Study-educational/jobs/English-Trainer-b814edde238420dc?fccid=f543ba8ad5cb21dd&vjs=3
Genpact,Process Associate - Underwriting,"Noida, Uttar Pradesh+1 location",Your role will require you to utilize your experience in and knowledge of insurance/reinsurance and underwriting processes to process transactions for the…,Not Available,https://in.indeed.com/rc/clk?jk=d4a79be1db9c6110&fccid=afe30394bfba1470&vjs=3
IBAIS MEDIA Pvt. Ltd.,Social Media Marketing,"Rajkot, Gujarat","We are looking for candidate who have knowledge of the *Facebook, LinkedIn, Twitter, Whatsapp *.
Having knowledge of the *Facebook, LinkedIn, Twitter, Whatsapp*…","₹7,000 - ₹25,000 a month",https://in.indeed.com/company/IBAIS-Pvt-Ltd/jobs/Social-Media-Marketing-2986e5189158ed6f?fccid=a26af4eab80e196a&vjs=3
Whiteice Network,Service Engineer,"Ahmedabad, Gujarat+6 locations","Using various strategies and tools to provide effective solutions to customers' concerns.
Communicating with clients, engineers, and other technicians to ensure…","₹20,000 - ₹30,000 a month",https://in.indeed.com/rc/clk?jk=c2bc92cbafeb6752&fccid=909736b753622594&vjs=3
Kone,Graduate Engineer Trainee,"Chennai, Tamil Nadu","Creates design and Manufacturing drawings for the requirement.
Basic Structural Design and material science knowledge.",Not Available,https://in.indeed.com/rc/clk?jk=b36b93a7c92d5a14&fccid=9fa5332d10f5477f&vjs=3
